Android 10,Linux armv81,8,8,"Samsung Electronics Co., Ltd.",ANGLE (Samsung Xclipse 530) on Vulkan 1.3.231,412x892,Chrome/131.0.0.0,43.252.15.22,Asia,Sri Lanka,Western Province,Colombo,Hutchison Telecommunications Lanka private Limited,Hutchison Telecommunications Lanka private Limited,6.872618 deg,79.8598575 deg,34.5 m,-89 m,8 deg,1.149999976158142 m/s
Android 10,Linux armv81,8,8,"Samsung Electronics Co., Ltd.",ANGLE (Samsung Xclipse 530) on Vulkan 1.3.231,412x892,Chrome/131.0.0.0,43.252.15.22,Asia,Sri Lanka,Western Province,Colombo,Hutchison Telecommunications Lanka private Limited,Hutchison Telecommunications Lanka private Limited,6.8727548 deg,79.8598759 deg,507.14300537109375 m,-89 m,Not Available,0.09202424436807632 m/s
Android 10,Linux armv81,8,8,"Samsung Electronics Co., Ltd.",ANGLE (Samsung Xclipse 530) on Vulkan 1.3.231,412x892,Chrome/131.0.0.0,43.252.15.22,Asia,Sri Lanka,Western Province,Colombo,Hutchison Telecommunications Lanka private Limited,Hutchison Telecommunications Lanka private Limited
Win64,Win32,3,0.5,Google Inc. (Intel),"ANGLE (Intel, Intel(R) HD Graphics 620 (0x00005916) Direct3D11 vs_5_0 ps_5_0, D3D11)",1329x653,Chrome/132.0.0.0,175.157.16.9,Asia,Sri Lanka,Central Province,Gampola,Dialog Axiata PLC,Dialog Axiata PLC
Android 10,Linux armv81,2,1,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,175.157.113.22,Asia,Sri Lanka,Western Province,Colombo,Dialog Axiata PLC,Dialog Axiata PLC,6.8728188 deg,79.8598167 deg,17.200000762939453 m,-78.20000457763672 m,Not Available,Not Available
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,6.9242298 deg,79.8667569 deg,17.393 m,Not Available,Not Available,Not Available
Android 10,Linux armv81,7,0.5,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,175.157.252.7,Asia,Sri Lanka,Western Province,Colombo,Dialog Axiata PLC,Dialog Axiata PLC,6.9241739 deg,79.866604 deg,38.57600021362305 m,-46.60000228881836 m,Not Available,Not Available
Android 10,Linux armv81,2,2,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,175.157.252.7,Asia,Sri Lanka,Western Province,Colombo,Dialog Axiata PLC,Dialog Axiata PLC,6.9241739 deg,79.866604 deg,100 m,-46.60000228881836 m,Not Available,Not Available
Android 10,Linux armv81,2,2,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,175.157.252.7,Asia,Sri Lanka,Western Province,Colombo,Dialog Axiata PLC,Dialog Axiata PLC,6.9242426 deg,79.866776 deg,16.01300048828125 m,-47.70000076293945 m,Not Available,Not Available
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,6.9242564 deg,79.8667731 deg,15.63599967956543 m,-47.70000076293945 m,Not Available,Not Available
Android 10,Linux armv81,8,2,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,175.157.252.7,Asia,Sri Lanka,Western Province,Colombo,Dialog Axiata PLC,Dialog Axiata PLC,6.9242541 deg,79.8667819 deg,13.00100040435791 m,-47.70000076293945 m,Not Available,0.07867544144392014 m/s
Android 10,Linux armv81,5,0.5,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,2402:4000:20c3:6818:d492:16d0:9dd9:6aaf,Asia,Sri Lanka,Central Province,Peradeniya,Dialog Axiata PLC,Dialog Axiata PLC,6.8728269 deg,79.859812 deg,100 m,-78.20000457763672 m,Not Available,Not Available
Intel Mac OS X 10_15_7,Linux x86_64,8,8,Google Inc. (Google),"ANGLE (Google, Vulkan 1.3.0 (SwiftShader Device (Subzero) (0x0000C0DE)), SwiftShader driver)",800x600,Chrome/108.0.0.0,34.83.203.92,North America,United States,Oregon,The Dalles,Google LLC,Google LLC,6.8728269 deg,79.859812 deg,100 m,-78.20000457763672 m,Not Available,Not Available
Android 10,Linux armv81,7,1,Imagination Technologies,PowerVR Rogue GE8320,385x854,Chrome/132.0.0.0,2402:4000:20c3:6818:d492:16d0:9dd9:6aaf,Asia,Sri Lanka,Central Province,Peradeniya,Dialog Axiata PLC,Dialog Axiata PLC,6.8728201 deg,79.8598158 deg,15.736000061035156 m,-78.20000457763672 m,Not Available,Not Available
